strategy,gamma,k,sigma,mean_pnl,std_pnl,sharpe
Avellaneda (GBM),0.5,0.5,0.1,4.666546448472971,4.362942180727574,1.0695870481819605
Avellaneda (GBM),0.5,0.5,0.2,1.1607523719047952,2.0913367707199417,0.5550289117257794
Avellaneda (GBM),0.5,0.5,0.3,0.48091806449656926,1.5861864987669037,0.3031913743247931
Avellaneda (GBM),0.5,1.0,0.1,1.034877522179677,1.6519851522045466,0.6264448084164984
Avellaneda (GBM),0.5,1.0,0.2,0.2242867823280622,0.7472808081093592,0.30013721735409465
Avellaneda (GBM),0.5,1.0,0.3,0.11040015134035175,0.5402364796129386,0.20435523239646786
Avellaneda (GBM),0.5,1.5,0.1,0.391407506355374,0.8353264674194555,0.4685683042757347
Avellaneda (GBM),0.5,1.5,0.2,0.07633799347053793,0.34880665293475066,0.21885475184677186
Avellaneda (GBM),0.5,1.5,0.3,0.029348946509509848,0.23431005882637426,0.12525687824293394
Avellaneda (GBM),1.0,0.5,0.1,2.6419315368892824,3.216494046303353,0.821369944684212
Avellaneda (GBM),1.0,0.5,0.2,0.604159358312205,1.5720630500952728,0.3843098775685814
Avellaneda (GBM),1.0,0.5,0.3,0.2708376015655297,0.9825478759592899,0.27564824899865886
Avellaneda (GBM),1.0,1.0,0.1,0.5567483216186255,1.0841997168214428,0.5135108531948792
Avellaneda (GBM),1.0,1.0,0.2,0.12056871136351925,0.5242537346778621,0.22998159743698354
Avellaneda (GBM),1.0,1.0,0.3,0.023407358291633904,0.23372163377229702,0.10015058475262283
Avellaneda (GBM),1.0,1.5,0.1,0.2250399518932187,0.6248748649899789,0.3601360280299123
Avellaneda (GBM),1.0,1.5,0.2,0.024294855931184904,0.18865397698777642,0.12877998290361542
Avellaneda (GBM),1.0,1.5,0.3,0.0,0.0,0.0
Avellaneda (GBM),1.5,0.5,0.1,1.9264692319260872,2.843606703413142,0.6774738678220771
Avellaneda (GBM),1.5,0.5,0.2,0.4081804267645459,1.0796737496781543,0.37805904504598964
Avellaneda (GBM),1.5,0.5,0.3,0.14668600705146398,0.7404804394262032,0.19809572169810544
Avellaneda (GBM),1.5,1.0,0.1,0.38864554778522875,0.8965231316278467,0.43350308996439635
Avellaneda (GBM),1.5,1.0,0.2,0.03861219468192829,0.27276556631613186,0.14155817100893608
Avellaneda (GBM),1.5,1.0,0.3,0.0,0.0,0.0
Avellaneda (GBM),1.5,1.5,0.1,0.12982723962732232,0.3684182642185419,0.352390888933536
Avellaneda (GBM),1.5,1.5,0.2,0.005583753559475563,0.09671344861955235,0.05773502691896262
Avellaneda (GBM),1.5,1.5,0.3,0.0,0.0,0.0
Avellaneda (GBM),2.0,0.5,0.1,1.44156227267646,2.1024982704183426,0.6856425486569493
Avellaneda (GBM),2.0,0.5,0.2,0.3019851103214257,0.9826265558507444,0.3073243935077362
Avellaneda (GBM),2.0,0.5,0.3,0.1316861952442671,0.7824891517429725,0.16829140052732977
Avellaneda (GBM),2.0,1.0,0.1,0.2824677029588162,0.697045205890906,0.4052358449231268
Avellaneda (GBM),2.0,1.0,0.2,0.03156484501198842,0.27373479152226016,0.11531177617742303
Avellaneda (GBM),2.0,1.0,0.3,0.0,0.0,0.0
Avellaneda (GBM),2.0,1.5,0.1,0.11218776152373801,0.3655334590564908,0.30691516397244534
Avellaneda (GBM),2.0,1.5,0.2,0.0,0.0,0.0
Avellaneda (GBM),2.0,1.5,0.3,0.0,0.0,0.0
