strategy,sigma,gamma,k,spread,mean_profit,std_profit,mean_q,std_q
Symmetric,0.1,0.05,1.0,1.951857816777248,102.98874679325041,8.569512896533729,0.619,8.873476070716459
Symmetric,0.1,0.05,1.5,1.3118441629196527,68.75731311562788,5.658226402371848,-0.051,9.058280822068362
Symmetric,0.1,0.05,2.0,0.9879557536148678,51.54100046687977,4.336921137053405,-0.116,8.771401340805326
Symmetric,0.1,0.1,1.0,1.9067060960865083,102.42661331898427,8.899422723268907,0.29,8.819732858068189
Symmetric,0.1,0.1,1.5,1.2912729227514308,68.66092787142165,5.922537045751074,-0.154,8.564440065388608
Symmetric,0.1,0.1,2.0,0.9763057833886307,51.519516811197384,4.248873385760629,-0.325,8.6662840640888
Symmetric,0.1,0.5,1.0,1.6243729324326246,101.34415671857472,7.3363101798539265,0.447,9.48214649233506
Symmetric,0.1,0.5,1.5,1.1532407898071155,67.80060714530121,5.260977400947133,0.408,9.296771803479203
Symmetric,0.1,0.5,2.0,0.8950867052568517,51.35766830556662,3.8772481888629433,-0.001,9.429735888078675
Symmetric,0.2,0.05,1.0,1.9526115667772614,103.06316832946045,8.94963990737088,0.267,8.909269671869074
Symmetric,0.2,0.05,1.5,1.3125979129196441,68.58546819566423,5.785867939137943,-0.237,8.759198282637204
Symmetric,0.2,0.05,2.0,0.9887095036148414,51.602827019828496,4.430643312586917,0.034,8.760913057301595
Symmetric,0.2,0.1,1.0,1.908213596086458,102.57702310469476,8.876318539101849,-0.15,8.739214717231398
Symmetric,0.2,0.1,1.5,1.2927804227514093,68.91505294221602,5.816863758794949,-0.233,8.833614421274213
Symmetric,0.2,0.1,2.0,0.9778132833886294,51.5004998415508,4.479287215472405,-0.022,8.864880264397376
Symmetric,0.2,0.5,1.0,1.6319104324326756,101.04750327164406,7.606399634891003,-0.417,9.135894897358199
Symmetric,0.2,0.5,1.5,1.160778289807113,68.08756568364076,5.586614666295618,0.487,8.812916571629309
Symmetric,0.2,0.5,2.0,0.9026242052568462,51.21985620139231,4.337834186016378,0.546,8.955561740398315
Symmetric,0.3,0.05,1.0,1.9538678167773318,102.96767723825047,8.90507140852391,-0.119,8.975488755404822
Symmetric,0.3,0.05,1.5,1.313854162919615,68.77749769780769,5.894868505248939,-0.061,9.061091677186717
Symmetric,0.3,0.05,2.0,0.9899657536148265,51.731201539584134,4.689752426868564,0.364,8.978982466077442
Symmetric,0.3,0.1,1.0,1.9107260960865344,102.65912124227229,8.603750930904537,0.204,9.009192502635825
Symmetric,0.3,0.1,1.5,1.29529292275143,68.74497048662558,5.8280382207765165,0.237,8.662671231951082
Symmetric,0.3,0.1,2.0,0.980325783388623,51.384959833573305,4.620677729830339,0.062,8.70148676215001
Symmetric,0.3,0.5,1.0,1.6444729324326306,101.2065061214419,7.89276917620289,0.222,9.027857897542374
Symmetric,0.3,0.5,1.5,1.1733407898070958,68.1167739426127,5.703605332244576,-0.378,8.733463768138582
Symmetric,0.3,0.5,2.0,0.9151867052568229,51.19040362986563,4.452975739197928,-0.083,8.920296109585303
